Filename	Target	Prediction	Confidence
20190814_14-44-24-433_sgm00055.jpg	0	1	0,376231502920323
20190814_14-44-24-433_sgm00062.jpg	0	0	0,7381746712385635
20190814_14-44-24-433_sgm00095.jpg	0	1	0,4985094566663462
20190814_14-44-24-433_sgm00097.jpg	0	0	0,6224980279075046
20190814_14-44-24-433_sgm00098.jpg	0	0	0,516296235326817
20190814_14-44-24-433_sgm00102.jpg	0	0	0,5914347681953935
20190814_14-44-24-433_sgm00103.jpg	0	0	0,514230910641021
20190814_14-44-24-433_sgm00104.jpg	0	0	0,49540108522048476
20190814_14-44-24-433_sgm00185.jpg	0	1	0,6723646331032241
20190814_14-44-24-433_sgm00186.jpg	0	1	0,5416812656262843
20190814_14-44-24-433_sgm00188.jpg	0	0	0,6103241763542285
20190814_14-44-24-433_sgm00190.jpg	0	0	0,5501670686951473
20190814_14-44-24-433_sgm00191.jpg	0	1	0,5173409485711963
20190814_14-44-24-433_sgm00192.jpg	0	1	0,5122611346312416
20190814_14-44-24-433_sgm00193.jpg	0	1	0,5014041065433541
20190814_14-44-24-433_sgm00194.jpg	0	1	0,6192871029486589
20190814_14-44-24-433_sgm00197.jpg	0	0	0,7694464965641671
20190814_14-44-24-433_sgm00200.jpg	0	0	0,6301288017758314
20190814_14-44-24-433_sgm00204.jpg	0	0	0,5506249114024349
20190814_14-44-24-433_sgm00217.jpg	0	0	0,5178956756702082
20190814_14-44-24-433_sgm00220.jpg	0	1	0,4808541274367913
20190814_14-44-24-433_sgm00224.jpg	0	0	0,5842644595452513
20190814_14-44-24-433_sgm00275.jpg	0	2	0,4713222203289681
20190814_14-44-24-433_sgm00278.jpg	0	1	0,4763415295425959
20190814_14-44-24-433_sgm00279.jpg	0	1	0,45004715830995395
20190814_14-44-24-433_sgm00510.jpg	0	1	0,5391523891262536
20190814_14-44-24-433_sgm00511.jpg	0	1	0,4917590062694308
20190814_14-44-24-433_sgm00512.jpg	0	0	0,5640768484144354
20190814_14-44-24-433_sgm00513.jpg	0	2	0,6341268125393367
20190814_14-44-24-433_sgm00515.jpg	0	2	0,5924049296549602
20190814_14-44-24-433_sgm00516.jpg	0	2	0,5923006328448522
20190814_14-44-24-433_sgm00521.jpg	0	0	0,4122838580755126
20190814_14-44-24-433_sgm00524.jpg	0	1	0,4493522330023538
